cust_id,age,gender,city,loyalty_segment,preferred_channel,registration_date
C100001,48,Male,Abu Dhabi,Silver,Mobile,2021-07-01
C100002,35,Female,Sharjah,Silver,Mobile,2022-09-21
C100003,34,Male,Abu Dhabi,Gold,Store,2018-10-22
C100004,52,Female,Abu Dhabi,Platinum,Store,2018-06-22
C100005,18,Female,Dubai,Silver,Mobile,2021-10-24
C100006,24,Male,Dubai,Silver,Store,2019-04-24
C100007,56,Male,Abu Dhabi,Gold,Store,2018-08-11
C100008,44,Other,Abu Dhabi,Gold,Mobile,2020-11-16
C100009,41,Female,Abu Dhabi,Silver,Store,2018-02-15
C100010,36,Male,Dubai,Silver,Store,2021-11-06
C100011,25,Male,Abu Dhabi,Silver,Store,2019-08-26
C100012,18,Female,Dubai,Silver,Store,2015-12-04
C100013,37,Male,Dubai,Gold,Website,2015-11-04
C100014,29,Male,Sharjah,Gold,Store,2024-02-13
C100015,31,Male,Sharjah,Silver,Store,2021-04-16
C100016,49,Male,Dubai,Silver,Store,2022-02-16
C100017,50,Female,Abu Dhabi,Gold,Store,2020-06-13
C100018,39,Female,Abu Dhabi,Silver,Store,2016-06-17
C100019,31,Male,Abu Dhabi,Silver,Marketplace,2022-06-17
C100020,43,Female,Dubai,Silver,Store,2017-01-07
C100021,26,Female,Dubai,Gold,Store,2015-10-18
C100022,29,Other,Abu Dhabi,Gold,Store,2024-09-26
C100023,21,Male,Abu Dhabi,Gold,Store,2024-11-11
C100024,49,Female,Dubai,Silver,Store,2016-06-13
C100025,66,Female,Abu Dhabi,Silver,Website,2015-01-25
C100026,28,Male,Dubai,Silver,Mobile,2015-08-16
C100027,44,Male,Abu Dhabi,Gold,Website,2018-03-08
C100028,52,Male,Dubai,Silver,Mobile,2021-06-25
C100029,24,Female,Abu Dhabi,Silver,Store,2019-01-12
C100030,38,Male,Abu Dhabi,Silver,Website,2020-01-12
C100031,45,Male,Dubai,Silver,Mobile,2018-12-12
C100032,18,Female,Dubai,Gold,Store,2023-12-02
C100033,34,Male,Dubai,Silver,Store,2020-06-14
C100034,27,Male,Abu Dhabi,Silver,Mobile,2023-09-26
C100035,43,Female,Abu Dhabi,Gold,Store,2018-04-14
C100036,38,Female,Abu Dhabi,Silver,Store,2022-06-25
C100037,46,Male,Dubai,Platinum,Mobile,2022-05-11
C100038,44,Male,Dubai,Gold,Store,2022-08-01
C100039,36,Male,Dubai,Gold,Store,2015-07-05
C100040,41,Male,Sharjah,Gold,Website,2023-09-07
C100041,43,Female,Dubai,Silver,Store,2018-02-06
C100042,26,Male,Dubai,Gold,Store,2024-11-10
C100043,38,Female,Abu Dhabi,Gold,Store,2018-07-10
C100044,18,Male,Abu Dhabi,Silver,Store,2024-06-02
C100045,36,Female,Dubai,Gold,Mobile,2018-07-08
C100046,46,Female,Abu Dhabi,Silver,Mobile,2018-07-25
C100047,33,Female,Dubai,Silver,Mobile,2022-08-10
