store_id,sku_id,stock_on_hand,reorder_point,safety_stock,last_restock_date
S001,SKU02159,92,15,10,2025-03-31
S001,SKU03549,68,18,14,2025-11-23
S001,SKU01841,13,2,1,2025-11-20
S001,SKU00904,4,1,1,2025-10-31
S001,SKU01600,3,1,1,2025-02-27
S001,SKU04053,19,5,3,2025-08-02
S001,SKU00302,46,6,5,2025-01-29
S001,SKU00352,85,22,11,2025-06-04
S001,SKU04020,4,1,1,2025-09-13
S001,SKU00329,11,1,1,2025-08-27
S001,SKU03863,72,20,10,2025-11-06
S001,SKU04045,22,4,3,2025-03-21
S001,SKU03523,114,26,18,2025-05-28
S001,SKU00695,150,27,20,2025-01-21
S001,SKU04863,222,40,38,2025-05-31
S001,SKU04392,87,9,8,2025-07-19
S001,SKU03987,65,19,17,2025-03-11
S001,SKU00288,64,8,4,2025-08-07
S001,SKU04838,103,30,21,2025-12-19
S001,SKU00138,24,5,4,2025-05-08
S001,SKU01213,141,21,12,2025-01-04
S001,SKU00627,21,2,1,2025-09-05
S001,SKU03120,48,14,7,2025-09-06
S001,SKU01062,18,3,1,2025-07-18
S001,SKU01376,30,5,3,2025-08-26
S001,SKU03820,55,15,12,2025-10-20
S001,SKU00398,30,4,2,2025-11-10
S001,SKU01174,47,8,6,2025-10-05
S001,SKU01051,8,1,1,2025-07-09
S001,SKU00036,36,9,5,2025-08-13
S001,SKU01126,35,7,5,2025-12-15
S001,SKU03361,143,29,27,2025-04-13
S001,SKU04735,70,7,3,2025-07-03
S001,SKU02956,83,15,9,2025-08-26
S001,SKU00372,25,4,3,2025-05-31
S001,SKU04638,58,9,5,2025-08-08
S001,SKU01780,75,17,15,2025-10-31
S001,SKU01142,64,10,7,2025-10-03
S001,SKU01478,99,19,10,2025-12-28
S001,SKU03516,99,19,17,2025-10-31
S001,SKU02074,117,28,14,2025-01-03
S001,SKU01178,184,20,11,2025-06-20
S001,SKU04695,46,13,9,2025-07-22
S001,SKU00576,13,1,1,2025-07-29
S001,SKU00750,122,22,19,2025-02-07
S001,SKU02818,42,5,2,2025-09-17
S001,SKU03885,115,20,17,2025-08-11
S001,SKU04540,40,11,10,2025-04-11
S001,SKU00263,12,1,1,2025-07-10
S001,SKU00980,67,15,9,2025-06-23
S001,SKU02875,158,22,20,2025-04-23
S001,SKU00089,56,6,3,2025-09-14
S001,SKU01306,141,41,39,2025-01-10
S001,SKU01897,140,15,14,2025-11-12
S001,SKU04859,104,11,6,2025-05-08
S001,SKU02714,119,29,18,2025-12-01
S001,SKU04978,89,21,12,2025-07-08
S001,SKU04365,58,15,11,2025-06-12
S001,SKU02241,42,7,4,2025-06-19
S001,SKU03076,74,16,15,2025-08-20
S001,SKU04999,56,14,10,2025-08-26
S001,SKU02025,132,34,21,2025-04-07
S001,SKU03440,13,1,1,2025-09-29
S001,SKU01704,71,12,9,2025-05-01
S001,SKU00621,59,7,6,2025-11-16
S001,SKU04220,13,2,1,2025-02-05
S001,SKU02275,40,6,5,2025-05-22
S001,SKU04357,49,8,5,2025-08-20
S001,SKU05000,2,1,1,2025-08-09
S001,SKU04465,11,2,1,2025-01-30
S001,SKU04396,8,2,1,2025-06-02
S001,SKU03434,24,6,5,2025-11-29
S001,SKU00270,30,3,1,2025-11-05
S001,SKU01558,122,16,8,2025-05-26
S001,SKU03156,41,5,4,2025-09-20
S001,SKU00666,46,4,2,2025-03-01
S001,SKU01532,46,13,11,2025-06-03
S001,SKU03746,64,12,11,2025-05-19
S001,SKU01829,52,9,6,2025-02-24
S001,SKU03818,67,19,12,2025-11-20
S001,SKU02755,114,21,16,2025-04-11
S001,SKU04381,40,4,2,2025-01-30
S001,SKU03002,22,5,4,2025-11-21
S001,SKU02993,123,27,19,2025-11-17
S001,SKU01554,50,13,10,2025-10-03
S001,SKU01663,84,9,6,2025-09-29
S001,SKU01703,133,23,19,2025-06-18
S001,SKU01998,64,7,4,2025-07-08
S001,SKU01411,72,8,6,2025-01-29
S001,SKU04462,77,18,14,2025-02-03
S001,SKU02084,131,25,24,2025-12-31
S001,SKU02299,109,25,20,2025-09-03
