sku_id,sku_name,category,subcategory,unit_price,cost_price,brand
SKU00001,BlueMart Yogurt 1,Dairy,Yogurt,8.62,4.96,BlueMart
SKU00002,FreshFarm Staple 2,Grocery,Staples,73.25,41.67,FreshFarm
SKU00003,DailyDelight Nuts 3,Snacks,Nuts,38.42,22.03,DailyDelight
SKU00004,Aroma Staple 4,Grocery,Staples,28.33,20.2,Aroma
SKU00005,NovaTech Small  5,Electronics,Small Appliances,518.13,402.01,NovaTech
SKU00006,BlueMart Frozen 6,Grocery,Frozen,77.05,50.3,BlueMart
SKU00007,Aroma Small  7,Electronics,Small Appliances,621.52,481.64,Aroma
SKU00008,HomeSense Hair 8,Personal Care,Hair,9.54,6.66,HomeSense
SKU00009,Aroma Soft d 9,Beverages,Soft Drinks,6.98,4.6,Aroma
SKU00010,EcoHome Soft d 10,Beverages,Soft Drinks,46.63,26.91,EcoHome
SKU00011,BlueMart Laundr 11,Household,Laundry,8.21,5.37,BlueMart
SKU00012,DailyDelight Yogurt 12,Dairy,Yogurt,44.58,29.22,DailyDelight
SKU00013,NovaTech Oral 13,Personal Care,Oral,95.09,61.5,NovaTech
SKU00014,EcoHome Staple 14,Grocery,Staples,63.43,44.6,EcoHome
SKU00015,SunValley Staple 15,Grocery,Staples,25.51,17.11,SunValley
SKU00016,PrimeChoice Soft d 16,Beverages,Soft Drinks,38.67,22.4,PrimeChoice
SKU00017,DailyDelight Staple 17,Grocery,Staples,56.54,37.67,DailyDelight
SKU00018,SunValley Chips 18,Snacks,Chips,12.81,8.66,SunValley
SKU00019,NovaTech Home a 19,Electronics,Home Audio,416.72,313.44,NovaTech
SKU00020,FreshFarm Biscui 20,Snacks,Biscuits,6.01,4.91,FreshFarm
SKU00021,EcoHome Small  21,Electronics,Small Appliances,85.42,58.29,EcoHome
SKU00022,DailyDelight Cheese 22,Dairy,Cheese,33.35,23.59,DailyDelight
SKU00023,DailyDelight Nuts 23,Snacks,Nuts,47.7,28.32,DailyDelight
SKU00024,Grove Cleani 24,Household,Cleaning,17.71,11.1,Grove
SKU00025,PureLife Laundr 25,Household,Laundry,112.49,63.74,PureLife
SKU00026,BlueMart Skin 26,Personal Care,Skin,31.49,19.76,BlueMart
SKU00027,PrimeChoice Nuts 27,Snacks,Nuts,34.1,20.27,PrimeChoice
SKU00028,Grove Cookin 28,Grocery,Cooking,79.72,46.48,Grove
SKU00029,CarePlus Frozen 29,Grocery,Frozen,46.38,38.44,CarePlus
SKU00030,EcoHome Frozen 30,Grocery,Frozen,31.82,20.77,EcoHome
SKU00031,CarePlus Chips 31,Snacks,Chips,43.19,26.6,CarePlus
SKU00032,PrimeChoice Access 32,Electronics,Accessories,614.01,407.17,PrimeChoice
SKU00033,SunValley Yogurt 33,Dairy,Yogurt,44.72,26.84,SunValley
SKU00034,Aroma Yogurt 34,Dairy,Yogurt,45.63,26.94,Aroma
SKU00035,HomeSense Access 35,Electronics,Accessories,734.76,412.34,HomeSense
